Country,Year,Wage
Belgium,2000,"18034,69"
Belgium,2001,"18884,08"
Belgium,2002,"19686,29"
Belgium,2003,"20097,89"
Belgium,2004,"20739,41"
Belgium,2005,"21273,34"
Belgium,2006,"21880,46"
Belgium,2007,"22396,97"
Belgium,2008,"23405,3"
Belgium,2009,"24323,59"
Belgium,2010,"24873,45"
Belgium,2011,"25519,85"
Belgium,2012,"26287,51"
Belgium,2013,"26609,36"
Belgium,2014,"26775,94"
Belgium,2015,"26953,59"
Belgium,2016,"27574,37"
Belgium,2017,"28238,76"
Belgium,2018,"29240,96"
Belgium,2019,"30188,71"
Belgium,2020,"30539,81"
Belgium,2021,"31063,95"
Bulgaria,2008,"2605,86"
Bulgaria,2009,"2951,37"
Bulgaria,2010,"3202,34"
Bulgaria,2011,"3396,45"
Bulgaria,2012,"3598,45"
Bulgaria,2013,"3798,06"
Bulgaria,2014,"4033,73"
Bulgaria,2015,"4339,15"
Bulgaria,2016,"4689,05"
Bulgaria,2017,"5132,74"
Bulgaria,2018,"5447,1"
Bulgaria,2019,"6093,02"
Bulgaria,2020,"6612,77"
Bulgaria,2021,"7272,19"
Czechia,2000,"3503,73"
Czechia,2001,"3960,76"
Czechia,2002,"4676,61"
Czechia,2003,"4721,51"
Czechia,2004,"4999,03"
Czechia,2005,"5587,37"
Czechia,2006,"6394,53"
Czechia,2007,"6962,34"
Czechia,2008,"8345,94"
Czechia,2009,"8286,75"
Czechia,2010,"8812,03"
Czechia,2011,"9234,77"
Czechia,2012,"9275,22"
Czechia,2013,"8961,78"
Czechia,2014,"8674,36"
Czechia,2015,"9008,76"
Czechia,2016,"9449,38"
Czechia,2017,"10296,87"
Czechia,2018,"11256,33"
Czechia,2019,"11992,68"
Czechia,2020,"11804,05"
Czechia,2021,"13836,19"
Denmark,2000,"22125,95"
Denmark,2001,"23268,35"
Denmark,2002,"24439,83"
Denmark,2003,25154
Denmark,2004,"26117,61"
Denmark,2005,"26440,34"
Denmark,2006,"27243,49"
Denmark,2007,"28469,58"
Denmark,2008,"29595,89"
Denmark,2009,"30962,07"
Denmark,2010,"32349,16"
Denmark,2011,"33153,44"
Denmark,2012,"33617,32"
Denmark,2013,"33873,44"
Denmark,2014,"34330,38"
Denmark,2015,"34689,46"
Denmark,2016,"35021,65"
Denmark,2017,"35558,92"
Denmark,2018,"36515,61"
Denmark,2019,"37361,19"
Denmark,2020,"38206,92"
Denmark,2021,"39273,77"
Germany (until 1990 former territory of the FRG),2000,"19538,92"
Germany (until 1990 former territory of the FRG),2001,"20406,53"
Germany (until 1990 former territory of the FRG),2002,"20871,73"
Germany (until 1990 former territory of the FRG),2003,"21067,22"
Germany (until 1990 former territory of the FRG),2004,"21992,56"
Germany (until 1990 former territory of the FRG),2005,"22363,1"
Germany (until 1990 former territory of the FRG),2006,"22504,85"
Germany (until 1990 former territory of the FRG),2007,"23194,68"
Germany (until 1990 former territory of the FRG),2008,"23841,5"
Germany (until 1990 former territory of the FRG),2009,"23870,65"
Germany (until 1990 former territory of the FRG),2010,"25374,06"
Germany (until 1990 former territory of the FRG),2011,"26088,04"
Germany (until 1990 former territory of the FRG),2012,"26729,61"
Germany (until 1990 former territory of the FRG),2013,"27171,01"
Germany (until 1990 former territory of the FRG),2014,"27791,42"
Germany (until 1990 former territory of the FRG),2015,"28410,71"
Germany (until 1990 former territory of the FRG),2016,"28986,32"
Germany (until 1990 former territory of the FRG),2017,"29468,63"
Germany (until 1990 former territory of the FRG),2018,"30419,87"
